helloworld,python,java,node,go
1,0.004007101058959961,0.0034470558166503906,0.0030150413513183594,0.002832174301147461
10,0.003891730308532715,0.0032655000686645508,0.0028521060943603516,0.0026453495025634765
20,0.0038243412971496584,0.002955329418182373,0.0027899622917175295,0.0027210116386413574
30,0.00525657335917155,0.003612971305847168,0.0036492427190144856,0.002642210324605306
40,0.0038896918296813963,0.0031265079975128173,0.0028156399726867675,0.002718013525009155
50,0.0038788509368896484,0.0031333160400390625,0.0029009246826171876,0.002832040786743164
60,0.003908073902130127,0.0030832648277282714,0.0028936266899108887,0.0027078668276468913
70,0.003837333406720843,0.0029787744794573102,0.0029576778411865234,0.002703039986746652
80,0.0038370758295059202,0.002976563572883606,0.0029733866453170777,0.0027024030685424806
90,0.003798206647237142,0.002989339828491211,0.002972480985853407,0.0027470217810736763
readdata,python,java,node,go
1,0.005681037902832031,0.004133939743041992,0.004360198974609375,0.004436969757080078
10,0.005076479911804199,0.0038542985916137696,0.00379641056060791,0.003766298294067383
20,0.005217838287353516,0.0037204742431640623,0.003908014297485352,0.0036590099334716797
30,0.005120229721069336,0.0040091991424560545,0.0036374489466349286,0.0036858399709065754
40,0.005256432294845581,0.0038898944854736327,0.0036307394504547117,0.0035854995250701903
50,0.005290017127990722,0.0038961696624755858,0.0036088848114013672,0.0036532068252563476
60,0.005132015546162923,0.003942819436391195,0.0036651134490966798,0.003666083017985026
70,0.005096793174743652,0.004039389746529716,0.0036719083786010743,0.0036906582968575614
80,0.005132809281349182,0.003939580917358398,0.00368594229221344,0.0037041902542114258
90,0.005257770750257704,0.003835664855109321,0.0036628829108344184,0.0036948442459106444
writedata,python,java,node,go
1,0.005171775817871094,0.004312753677368164,0.004495859146118164,0.003423929214477539
10,0.005120015144348145,0.0036965370178222655,0.003456306457519531,0.003600144386291504
20,0.004954743385314942,0.0034422755241394045,0.0036065101623535155,0.003381180763244629
30,0.004947400093078614,0.0038062731424967446,0.0035242636998494468,0.0033960342407226562
40,0.005178523063659668,0.0035744130611419676,0.0035636723041534424,0.0035084187984466553
50,0.005049400329589844,0.0036235332489013674,0.003383216857910156,0.003367886543273926
60,0.00508492390314738,0.004517026742299398,0.004101177056630452,0.003652079900105794
70,0.004961068289620536,0.003610593932015555,0.0035490240369524272,0.003465754645211356
80,0.00509510338306427,0.0036475807428359985,0.003546068072319031,0.0034439593553543093
90,0.004994858635796441,0.003533596462673611,0.00352324644724528,0.0033905718061659072
calculatefib,python,java,node,go
1,0.007797956466674805,0.0038700103759765625,0.0037560462951660156,0.00286102294921875
10,0.007980775833129884,0.003386712074279785,0.003367757797241211,0.0029082536697387696
20,0.007885313034057618,0.0034624695777893066,0.003179001808166504,0.0028030872344970703
30,0.008088239034016927,0.0030687332153320314,0.0031762043635050457,0.0027521530787150065
40,0.007988423109054565,0.003239208459854126,0.0031978845596313476,0.0028427481651306153
50,0.007922906875610352,0.003129301071166992,0.003242349624633789,0.0028779411315917967
60,0.007863354682922364,0.003158565362294515,0.0032432079315185547,0.0029195904731750487
70,0.007872676849365235,0.003294198853628976,0.003260561398097447,0.002747835431780134
80,0.007965132594108582,0.0031687527894973754,0.0032317101955413817,0.0027823477983474733
90,0.007885938220553928,0.0031116538577609593,0.0032075696521335177,0.0028258270687527127
