python
0,20.318984985351562
1,20.631790161132812
2,16.659259796142578
3,25.452136993408203
4,22.51601219177246
5,21.924257278442383
6,16.46590232849121
7,19.330978393554688
8,14.00899887084961
9,12.063026428222656
average_time,18.937
min,12.063
max,25.452
stdev,0.004108914310174162
fail_percentage,0.0

java
0,18.07713508605957
1,14.002084732055664
2,20.64990997314453
3,22.231101989746094
4,25.456905364990234
5,24.472713470458984
6,12.376785278320312
7,13.930082321166992
8,19.75107192993164
9,16.533851623535156
average_time,18.748
min,12.377
max,25.457
stdev,0.0045487251186491825
fail_percentage,0.0

node
0,11.529922485351562
1,14.389991760253906
2,13.523101806640625
3,11.44099235534668
4,15.377044677734375
5,13.777971267700195
6,12.408018112182617
7,8.754253387451172
8,12.096881866455078
9,9.526968002319336
average_time,12.283
min,8.754
max,15.377
stdev,0.0020859171471726734
fail_percentage,0.0

go
0,9.924173355102539
1,11.880874633789062
2,12.888669967651367
3,14.817953109741211
4,17.574310302734375
5,15.79904556274414
6,9.019136428833008
7,11.800050735473633
8,14.358997344970703
9,7.826805114746094
average_time,12.589
min,7.827
max,17.574
stdev,0.0031090592637763722
fail_percentage,0.0

